,REF_DATE,GEO,Gender,Indicators,Statistics,VALUE
268,2023-07,Newfoundland and Labrador,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.4
269,2023-10,Newfoundland and Labrador,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.1
270,2021-04,Prince Edward Island,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,15.8
271,2021-07,Prince Edward Island,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,12.7
272,2021-10,Prince Edward Island,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.4
273,2022-01,Prince Edward Island,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,17.6
274,2022-04,Prince Edward Island,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,14.8
275,2022-07,Prince Edward Island,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,13.1
276,2022-10,Prince Edward Island,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,16.8
277,2023-04,Prince Edward Island,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,17.0
278,2023-07,Prince Edward Island,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.0
279,2023-10,Prince Edward Island,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.6
280,2021-04,Prince Edward Island,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.3
281,2021-07,Prince Edward Island,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,24.6
282,2021-10,Prince Edward Island,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,24.5
283,2022-01,Prince Edward Island,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,22.6
284,2022-04,Prince Edward Island,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.7
285,2022-07,Prince Edward Island,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,23.8
286,2022-10,Prince Edward Island,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,32.9
287,2023-04,Prince Edward Island,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,34.1
288,2023-07,Prince Edward Island,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.8
289,2023-10,Prince Edward Island,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.6
290,2021-04,Prince Edward Island,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,56.8
291,2021-07,Prince Edward Island,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,62.7
292,2021-10,Prince Edward Island,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,57.1
293,2022-01,Prince Edward Island,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.7
294,2022-04,Prince Edward Island,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,58.5
295,2022-07,Prince Edward Island,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,63.1
296,2022-10,Prince Edward Island,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.3
297,2023-04,Prince Edward Island,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.9
298,2023-07,Prince Edward Island,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.3
299,2023-10,Prince Edward Island,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.9
300,2021-04,Prince Edward Island,Men,Life satisfaction rating between 0 and 5,Percentage of persons,11.0
301,2021-07,Prince Edward Island,Men,Life satisfaction rating between 0 and 5,Percentage of persons,13.2
302,2021-10,Prince Edward Island,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.6
303,2022-01,Prince Edward Island,Men,Life satisfaction rating between 0 and 5,Percentage of persons,16.8
304,2022-04,Prince Edward Island,Men,Life satisfaction rating between 0 and 5,Percentage of persons,15.1
305,2022-07,Prince Edward Island,Men,Life satisfaction rating between 0 and 5,Percentage of persons,10.9
306,2022-10,Prince Edward Island,Men,Life satisfaction rating between 0 and 5,Percentage of persons,16.2
307,2023-04,Prince Edward Island,Men,Life satisfaction rating between 0 and 5,Percentage of persons,14.3
308,2023-07,Prince Edward Island,Men,Life satisfaction rating between 0 and 5,Percentage of persons,22.9
309,2023-10,Prince Edward Island,Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.1
310,2021-04,Prince Edward Island,Men,Life satisfaction rating of 6 or 7,Percentage of persons,30.8
311,2021-07,Prince Edward Island,Men,Life satisfaction rating of 6 or 7,Percentage of persons,24.8
312,2021-10,Prince Edward Island,Men,Life satisfaction rating of 6 or 7,Percentage of persons,22.3
313,2022-01,Prince Edward Island,Men,Life satisfaction rating of 6 or 7,Percentage of persons,20.9
314,2022-04,Prince Edward Island,Men,Life satisfaction rating of 6 or 7,Percentage of persons,24.2
315,2022-07,Prince Edward Island,Men,Life satisfaction rating of 6 or 7,Percentage of persons,22.0
316,2022-10,Prince Edward Island,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.4
317,2023-04,Prince Edward Island,Men,Life satisfaction rating of 6 or 7,Percentage of persons,34.0
318,2023-07,Prince Edward Island,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.7
319,2023-10,Prince Edward Island,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.3
320,2021-04,Prince Edward Island,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,58.2
321,2021-07,Prince Edward Island,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,62.0
322,2021-10,Prince Edward Island,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,58.1
323,2022-01,Prince Edward Island,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,62.3
324,2022-04,Prince Edward Island,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,60.7
325,2022-07,Prince Edward Island,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,67.1
326,2022-10,Prince Edward Island,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.4
327,2023-04,Prince Edward Island,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.7
328,2023-07,Prince Edward Island,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.4
329,2023-10,Prince Edward Island,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.7
330,2021-04,Prince Edward Island,Women,Life satisfaction rating between 0 and 5,Percentage of persons,20.3
331,2021-07,Prince Edward Island,Women,Life satisfaction rating between 0 and 5,Percentage of persons,12.1
332,2021-10,Prince Edward Island,Women,Life satisfaction rating between 0 and 5,Percentage of persons,17.2
333,2022-01,Prince Edward Island,Women,Life satisfaction rating between 0 and 5,Percentage of persons,18.4
334,2022-04,Prince Edward Island,Women,Life satisfaction rating between 0 and 5,Percentage of persons,14.5
335,2022-07,Prince Edward Island,Women,Life satisfaction rating between 0 and 5,Percentage of persons,15.1
336,2022-10,Prince Edward Island,Women,Life satisfaction rating between 0 and 5,Percentage of persons,17.4
337,2023-04,Prince Edward Island,Women,Life satisfaction rating between 0 and 5,Percentage of persons,19.6
338,2023-07,Prince Edward Island,Women,Life satisfaction rating between 0 and 5,Percentage of persons,15.0
339,2023-10,Prince Edward Island,Women,Life satisfaction rating between 0 and 5,Percentage of persons,16.1
340,2021-04,Prince Edward Island,Women,Life satisfaction rating of 6 or 7,Percentage of persons,24.1
341,2021-07,Prince Edward Island,Women,Life satisfaction rating of 6 or 7,Percentage of persons,24.5
342,2021-10,Prince Edward Island,Women,Life satisfaction rating of 6 or 7,Percentage of persons,26.5
343,2022-01,Prince Edward Island,Women,Life satisfaction rating of 6 or 7,Percentage of persons,24.3
344,2022-04,Prince Edward Island,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.2
345,2022-07,Prince Edward Island,Women,Life satisfaction rating of 6 or 7,Percentage of persons,25.5
346,2022-10,Prince Edward Island,Women,Life satisfaction rating of 6 or 7,Percentage of persons,34.5
347,2023-04,Prince Edward Island,Women,Life satisfaction rating of 6 or 7,Percentage of persons,34.1
348,2023-07,Prince Edward Island,Women,Life satisfaction rating of 6 or 7,Percentage of persons,23.9
349,2023-10,Prince Edward Island,Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.8
350,2021-04,Prince Edward Island,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.6
351,2021-07,Prince Edward Island,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,63.3
352,2021-10,Prince Edward Island,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,56.3
353,2022-01,Prince Edward Island,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,57.3
354,2022-04,Prince Edward Island,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,56.3
355,2022-07,Prince Edward Island,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.3
356,2022-10,Prince Edward Island,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.1
357,2023-04,Prince Edward Island,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.3
358,2023-07,Prince Edward Island,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,61.1
359,2023-10,Prince Edward Island,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.0
360,2021-04,Nova Scotia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,25.0
361,2021-07,Nova Scotia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,15.7
362,2021-10,Nova Scotia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.9
363,2022-01,Nova Scotia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.3
364,2022-04,Nova Scotia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.1
365,2022-07,Nova Scotia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.2
366,2022-10,Nova Scotia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,24.6
367,2023-04,Nova Scotia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,22.0
368,2023-07,Nova Scotia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.3
369,2023-10,Nova Scotia,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,24.2
370,2021-04,Nova Scotia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.4
371,2021-07,Nova Scotia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.2
372,2021-10,Nova Scotia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,31.8
373,2022-01,Nova Scotia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,31.8
374,2022-04,Nova Scotia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.3
375,2022-07,Nova Scotia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,22.4
376,2022-10,Nova Scotia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.3
377,2023-04,Nova Scotia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.7
378,2023-07,Nova Scotia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,32.9
379,2023-10,Nova Scotia,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.1
380,2021-04,Nova Scotia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.6
381,2021-07,Nova Scotia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,58.1
382,2021-10,Nova Scotia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.3
383,2022-01,Nova Scotia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.9
384,2022-04,Nova Scotia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.6
385,2022-07,Nova Scotia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,56.4
386,2022-10,Nova Scotia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.2
387,2023-04,Nova Scotia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.3
388,2023-07,Nova Scotia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.8
389,2023-10,Nova Scotia,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.7
390,2021-04,Nova Scotia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,24.4
391,2021-07,Nova Scotia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,15.3
392,2021-10,Nova Scotia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.8
393,2022-01,Nova Scotia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,17.8
394,2022-04,Nova Scotia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.6
395,2022-07,Nova Scotia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.4
396,2022-10,Nova Scotia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,25.1
397,2023-04,Nova Scotia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.3
398,2023-07,Nova Scotia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.5
399,2023-10,Nova Scotia,Men,Life satisfaction rating between 0 and 5,Percentage of persons,27.3
400,2021-04,Nova Scotia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,30.5
401,2021-07,Nova Scotia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,25.5
402,2021-10,Nova Scotia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,36.1
403,2022-01,Nova Scotia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,32.6
404,2022-04,Nova Scotia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.8
405,2022-07,Nova Scotia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,25.2
406,2022-10,Nova Scotia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,23.8
407,2023-04,Nova Scotia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,32.4
408,2023-07,Nova Scotia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,33.4
409,2023-10,Nova Scotia,Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.0
410,2021-04,Nova Scotia,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.1
411,2021-07,Nova Scotia,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.1
412,2021-10,Nova Scotia,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,43.2
413,2022-01,Nova Scotia,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.6
414,2022-04,Nova Scotia,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.6
415,2022-07,Nova Scotia,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.3
416,2022-10,Nova Scotia,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.1
417,2023-04,Nova Scotia,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.3
418,2023-07,Nova Scotia,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.1
419,2023-10,Nova Scotia,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,41.8
420,2021-04,Nova Scotia,Women,Life satisfaction rating between 0 and 5,Percentage of persons,25.6
421,2021-07,Nova Scotia,Women,Life satisfaction rating between 0 and 5,Percentage of persons,16.0
422,2021-10,Nova Scotia,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.1
423,2022-01,Nova Scotia,Women,Life satisfaction rating between 0 and 5,Percentage of persons,18.7
424,2022-04,Nova Scotia,Women,Life satisfaction rating between 0 and 5,Percentage of persons,20.7
425,2022-07,Nova Scotia,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.0
426,2022-10,Nova Scotia,Women,Life satisfaction rating between 0 and 5,Percentage of persons,24.0
427,2023-04,Nova Scotia,Women,Life satisfaction rating between 0 and 5,Percentage of persons,22.6
428,2023-07,Nova Scotia,Women,Life satisfaction rating between 0 and 5,Percentage of persons,23.0
429,2023-10,Nova Scotia,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.3
430,2021-04,Nova Scotia,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.4
431,2021-07,Nova Scotia,Women,Life satisfaction rating of 6 or 7,Percentage of persons,26.8
432,2021-10,Nova Scotia,Women,Life satisfaction rating of 6 or 7,Percentage of persons,27.7
433,2022-01,Nova Scotia,Women,Life satisfaction rating of 6 or 7,Percentage of persons,31.1
434,2022-04,Nova Scotia,Women,Life satisfaction rating of 6 or 7,Percentage of persons,23.9
435,2022-07,Nova Scotia,Women,Life satisfaction rating of 6 or 7,Percentage of persons,19.6
436,2022-10,Nova Scotia,Women,Life satisfaction rating of 6 or 7,Percentage of persons,34.6
437,2023-04,Nova Scotia,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.0
438,2023-07,Nova Scotia,Women,Life satisfaction rating of 6 or 7,Percentage of persons,32.4
439,2023-10,Nova Scotia,Women,Life satisfaction rating of 6 or 7,Percentage of persons,27.3
440,2021-04,Nova Scotia,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.0
441,2021-07,Nova Scotia,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,57.2
442,2021-10,Nova Scotia,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.2
443,2022-01,Nova Scotia,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.2
444,2022-04,Nova Scotia,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.4
445,2022-07,Nova Scotia,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.3
446,2022-10,Nova Scotia,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,41.4
447,2023-04,Nova Scotia,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.3
448,2023-07,Nova Scotia,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.6
449,2023-10,Nova Scotia,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.4
450,2021-04,New Brunswick,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.2
451,2021-07,New Brunswick,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.4
452,2021-10,New Brunswick,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.0
453,2022-01,New Brunswick,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.7
454,2022-04,New Brunswick,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.1
455,2022-07,New Brunswick,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.2
456,2022-10,New Brunswick,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.7
457,2023-04,New Brunswick,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.7
458,2023-07,New Brunswick,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,23.0
459,2023-10,New Brunswick,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,22.5
460,2021-04,New Brunswick,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.4
461,2021-07,New Brunswick,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,25.8
462,2021-10,New Brunswick,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,20.8
463,2022-01,New Brunswick,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,22.5
464,2022-04,New Brunswick,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.7
465,2022-07,New Brunswick,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,22.0
466,2022-10,New Brunswick,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.3
467,2023-04,New Brunswick,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.2
468,2023-07,New Brunswick,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,25.4
469,2023-10,New Brunswick,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.9
470,2021-04,New Brunswick,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.4
471,2021-07,New Brunswick,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.8
472,2021-10,New Brunswick,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,58.2
473,2022-01,New Brunswick,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,56.8
474,2022-04,New Brunswick,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.2
475,2022-07,New Brunswick,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.8
476,2022-10,New Brunswick,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.0
477,2023-04,New Brunswick,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.1
478,2023-07,New Brunswick,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.6
479,2023-10,New Brunswick,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.6
480,2021-04,New Brunswick,Men,Life satisfaction rating between 0 and 5,Percentage of persons,18.8
481,2021-07,New Brunswick,Men,Life satisfaction rating between 0 and 5,Percentage of persons,15.9
482,2021-10,New Brunswick,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.9
483,2022-01,New Brunswick,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.7
484,2022-04,New Brunswick,Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.5
485,2022-07,New Brunswick,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.0
486,2022-10,New Brunswick,Men,Life satisfaction rating between 0 and 5,Percentage of persons,26.7
487,2023-04,New Brunswick,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.6
488,2023-07,New Brunswick,Men,Life satisfaction rating between 0 and 5,Percentage of persons,23.6
489,2023-10,New Brunswick,Men,Life satisfaction rating between 0 and 5,Percentage of persons,25.6
490,2021-04,New Brunswick,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.4
491,2021-07,New Brunswick,Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.2
492,2021-10,New Brunswick,Men,Life satisfaction rating of 6 or 7,Percentage of persons,22.0
493,2022-01,New Brunswick,Men,Life satisfaction rating of 6 or 7,Percentage of persons,21.9
494,2022-04,New Brunswick,Men,Life satisfaction rating of 6 or 7,Percentage of persons,25.6
495,2022-07,New Brunswick,Men,Life satisfaction rating of 6 or 7,Percentage of persons,22.8
496,2022-10,New Brunswick,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.6
497,2023-04,New Brunswick,Men,Life satisfaction rating of 6 or 7,Percentage of persons,25.5
498,2023-07,New Brunswick,Men,Life satisfaction rating of 6 or 7,Percentage of persons,22.2
499,2023-10,New Brunswick,Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.2
500,2021-04,New Brunswick,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.8
501,2021-07,New Brunswick,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,56.9
502,2021-10,New Brunswick,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,57.1
503,2022-01,New Brunswick,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,58.4
504,2022-04,New Brunswick,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.0
505,2022-07,New Brunswick,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,58.2
506,2022-10,New Brunswick,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.7
507,2023-04,New Brunswick,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.9
508,2023-07,New Brunswick,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.2
509,2023-10,New Brunswick,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,46.3
510,2021-04,New Brunswick,Women,Life satisfaction rating between 0 and 5,Percentage of persons,17.6
511,2021-07,New Brunswick,Women,Life satisfaction rating between 0 and 5,Percentage of persons,20.7
512,2021-10,New Brunswick,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.1
513,2022-01,New Brunswick,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.7
514,2022-04,New Brunswick,Women,Life satisfaction rating between 0 and 5,Percentage of persons,18.7
515,2022-07,New Brunswick,Women,Life satisfaction rating between 0 and 5,Percentage of persons,17.4
516,2022-10,New Brunswick,Women,Life satisfaction rating between 0 and 5,Percentage of persons,16.9
517,2023-04,New Brunswick,Women,Life satisfaction rating between 0 and 5,Percentage of persons,17.9
518,2023-07,New Brunswick,Women,Life satisfaction rating between 0 and 5,Percentage of persons,22.3
519,2023-10,New Brunswick,Women,Life satisfaction rating between 0 and 5,Percentage of persons,19.5
520,2021-04,New Brunswick,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.4
521,2021-07,New Brunswick,Women,Life satisfaction rating of 6 or 7,Percentage of persons,24.5
522,2021-10,New Brunswick,Women,Life satisfaction rating of 6 or 7,Percentage of persons,19.6
523,2022-01,New Brunswick,Women,Life satisfaction rating of 6 or 7,Percentage of persons,23.1
524,2022-04,New Brunswick,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.8
525,2022-07,New Brunswick,Women,Life satisfaction rating of 6 or 7,Percentage of persons,21.2
526,2022-10,New Brunswick,Women,Life satisfaction rating of 6 or 7,Percentage of persons,33.9
527,2023-04,New Brunswick,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.8
528,2023-07,New Brunswick,Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.8
529,2023-10,New Brunswick,Women,Life satisfaction rating of 6 or 7,Percentage of persons,25.6
530,2021-04,New Brunswick,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.0
531,2021-07,New Brunswick,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.8
532,2021-10,New Brunswick,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.3
533,2022-01,New Brunswick,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.3
534,2022-04,New Brunswick,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.5
535,2022-07,New Brunswick,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,61.4
536,2022-10,New Brunswick,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.3
537,2023-04,New Brunswick,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.4
538,2023-07,New Brunswick,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.8
539,2023-10,New Brunswick,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.8
540,2021-04,Quebec,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,22.0
541,2021-07,Quebec,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,12.2
542,2021-10,Quebec,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,13.3
543,2022-01,Quebec,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,14.8
544,2022-04,Quebec,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,13.8
545,2022-07,Quebec,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,11.0
546,2022-10,Quebec,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,15.6
